"","mun","year","FARC","AUC","ELN","ERP","ERG","EPL","BACRIM","Guerrilla","Paramilitaries"
"1",5001,1994,1,1,1,0,0,0,0,1,1
"2",5002,1994,0,1,1,0,0,0,0,1,1
"3",5004,1994,0,1,0,0,0,0,0,0,1
"4",5021,1994,1,1,0,0,0,0,0,1,1
"5",5030,1994,0,1,0,0,0,0,0,0,1
"6",5031,1994,0,1,1,0,0,0,0,1,1
"7",5034,1994,0,1,1,0,0,0,0,1,1
"8",5036,1994,0,1,0,0,0,0,0,0,1
"9",5038,1994,1,1,0,0,0,0,0,1,1
"10",5040,1994,0,1,0,0,0,0,0,0,1
"11",5042,1994,0,1,0,0,0,0,0,0,1
"12",5044,1994,1,1,0,0,0,0,0,1,1
"13",5045,1994,1,1,1,0,0,0,0,1,1
"14",5051,1994,1,1,0,0,0,0,0,1,1
"15",5055,1994,0,1,1,0,0,0,0,1,1
"16",5059,1994,0,1,0,0,0,0,0,0,1
"17",5079,1994,1,1,1,0,0,0,0,1,1
"18",5086,1994,0,1,0,0,0,0,0,0,1
"19",5088,1994,1,1,1,0,0,0,0,1,1
"20",5091,1994,0,1,0,0,0,0,0,0,1
"21",5093,1994,0,1,1,0,0,0,0,1,1
"22",5101,1994,0,1,1,0,0,0,0,1,1
"23",5107,1994,1,1,0,0,0,0,0,1,1
"24",5113,1994,0,1,0,0,0,0,0,0,1
"25",5120,1994,0,1,1,0,0,0,0,1,1
"26",5125,1994,1,1,0,0,0,0,0,1,1
"27",5129,1994,1,1,1,0,0,0,0,1,1
"28",5134,1994,1,1,1,0,0,0,0,1,1
"29",5138,1994,1,1,0,0,0,0,0,1,1
"30",5142,1994,0,1,0,0,0,0,0,0,1
"31",5145,1994,0,1,0,0,0,0,0,0,1
"32",5147,1994,1,1,1,0,0,0,0,1,1
"33",5148,1994,0,1,1,0,0,0,0,1,1
"34",5150,1994,0,1,0,0,0,0,0,0,1
"35",5154,1994,1,1,1,0,0,0,0,1,1
"36",5172,1994,1,1,0,0,0,0,0,1,1
"37",5190,1994,0,1,1,0,0,0,0,1,1
"38",5197,1994,1,1,1,0,0,0,0,1,1
"39",5206,1994,0,1,0,0,0,0,0,0,1
"40",5209,1994,0,1,1,0,0,0,0,1,1
"41",5212,1994,0,1,0,0,0,0,0,0,1
"42",5234,1994,1,1,0,0,0,0,0,1,1
"43",5237,1994,0,1,0,0,0,0,0,0,1
