"","mun","year","Nombre municipio","Departamento","presencia","Guerrilla","Paramilitaries","Disputa"
"1",5001,1998,"Medellín","Antioquia",3,1,1,1
"2",5002,1998,"Abejorral","Antioquia",1,1,0,0
"3",5004,1998,"Abriaquí","Antioquia",3,1,1,1
"4",5021,1998,"Alejandría","Antioquia",0,0,0,0
"5",5030,1998,"Amagá","Antioquia",0,0,0,0
"6",5031,1998,"Amalfi","Antioquia",3,1,1,1
"7",5034,1998,"Andes","Antioquia",3,1,1,1
"8",5036,1998,"Angelópolis","Antioquia",3,1,1,1
"9",5038,1998,"Angostura","Antioquia",1,1,0,0
"10",5040,1998,"Anorí","Antioquia",3,1,1,1
"11",5042,1998,"Santafé de Antioquia","Antioquia",1,1,0,0
"12",5044,1998,"Anza","Antioquia",3,1,1,1
"13",5045,1998,"Apartadó","Antioquia",3,1,1,1
"14",5051,1998,"Arboletes","Antioquia",0,0,0,0
"15",5055,1998,"Argelia","Antioquia",3,1,1,1
"16",5059,1998,"Armenia","Antioquia",0,0,0,0
"17",5079,1998,"Barbosa","Antioquia",3,1,1,1
"18",5086,1998,"Belmira","Antioquia",3,1,1,1
"19",5088,1998,"Bello","Antioquia",2,0,1,0
"20",5091,1998,"Betania","Antioquia",3,1,1,1
"21",5093,1998,"Betulia","Antioquia",3,1,1,1
"22",5101,1998,"Ciudad Bolívar","Antioquia",1,1,0,0
"23",5107,1998,"Briceño","Antioquia",3,1,1,1
"24",5113,1998,"Buriticá","Antioquia",1,1,0,0
"25",5120,1998,"Cáceres","Antioquia",3,1,1,1
"26",5125,1998,"Caicedo","Antioquia",1,1,0,0
"27",5129,1998,"Caldas","Antioquia",0,0,0,0
"28",5134,1998,"Campamento","Antioquia",3,1,1,1
"29",5138,1998,"Cañasgordas","Antioquia",0,0,0,0
"30",5142,1998,"Caracolí","Antioquia",3,1,1,1
"31",5145,1998,"Caramanta","Antioquia",0,0,0,0
"32",5147,1998,"Carepa","Antioquia",3,1,1,1
"33",5148,1998,"El Carmen de Viboral","Antioquia",1,1,0,0
"34",5150,1998,"Carolina","Antioquia",3,1,1,1
"35",5154,1998,"Caucasia","Antioquia",3,1,1,1
"36",5172,1998,"Chigorodó","Antioquia",1,1,0,0
"37",5190,1998,"Cisneros","Antioquia",1,1,0,0
"38",5197,1998,"Cocorná","Antioquia",1,1,0,0
"39",5206,1998,"Concepción","Antioquia",1,1,0,0
"40",5209,1998,"Concordia","Antioquia",1,1,0,0
"41",5212,1998,"Copacabana","Antioquia",3,1,1,1
"42",5234,1998,"Dabeiba","Antioquia",3,1,1,1
