"","mun","year","Departamento","Municipio","Narcopara","Rastrojos","Urabenos","Aguilas_Negras","Paisas","Otros","Paramilitaries","Bloque_Meta","Clan_Del_Golfo","EPL_Los Pelusos"
"1",5001,2009,"ANTIOQUIA","MEDELLIN",1,1,1,1,1,1,1,NA,NA,NA
"2",5002,2009,"ANTIOQUIA","ABEJORRAL",0,0,0,0,0,0,0,NA,NA,NA
"3",5004,2009,"ANTIOQUIA","ABRIAQUI",0,0,0,0,0,0,0,NA,NA,NA
"4",5021,2009,"ANTIOQUIA","ALEJANDRIA",0,0,0,0,0,0,0,NA,NA,NA
"5",5030,2009,"ANTIOQUIA","AMAGA",1,1,1,1,1,1,1,NA,NA,NA
"6",5031,2009,"ANTIOQUIA","AMALFI",0,0,0,0,0,0,0,NA,NA,NA
"7",5034,2009,"ANTIOQUIA","ANDES",0,0,0,0,0,0,0,NA,NA,NA
"8",5036,2009,"ANTIOQUIA","ANGELOPOLIS",0,0,0,0,0,0,0,NA,NA,NA
"9",5038,2009,"ANTIOQUIA","ANGOSTURA",0,0,0,0,0,0,0,NA,NA,NA
"10",5040,2009,"ANTIOQUIA","ANORI",0,0,0,0,0,0,0,NA,NA,NA
"11",5042,2009,"ANTIOQUIA","ANTIOQUIA",0,0,0,0,0,0,0,NA,NA,NA
"12",5044,2009,"ANTIOQUIA","ANZA",0,0,0,0,0,0,0,NA,NA,NA
"13",5045,2009,"ANTIOQUIA","APARTADO",1,1,1,1,1,1,1,NA,NA,NA
"14",5051,2009,"ANTIOQUIA","ARBOLETES",0,0,0,0,0,0,0,NA,NA,NA
"15",5055,2009,"ANTIOQUIA","ARGELIA",0,0,0,0,0,0,0,NA,NA,NA
"16",5059,2009,"ANTIOQUIA","ARMENIA",0,0,0,0,0,0,0,NA,NA,NA
"17",5079,2009,"ANTIOQUIA","BARBOSA",0,0,0,0,0,0,0,NA,NA,NA
"18",5086,2009,"ANTIOQUIA","BELMIRA",0,0,0,0,0,0,0,NA,NA,NA
"19",5088,2009,"ANTIOQUIA","BELLO",1,1,1,1,1,1,1,NA,NA,NA
"20",5091,2009,"ANTIOQUIA","BETANIA",0,0,0,0,0,0,0,NA,NA,NA
"21",5093,2009,"ANTIOQUIA","BETULIA",0,0,0,0,0,0,0,NA,NA,NA
"22",5101,2009,"ANTIOQUIA","BOLIVAR",0,0,0,0,0,0,0,NA,NA,NA
"23",5107,2009,"ANTIOQUIA","BRICENO",0,0,0,0,0,0,0,NA,NA,NA
"24",5113,2009,"ANTIOQUIA","BURITICA",0,0,0,0,0,0,0,NA,NA,NA
"25",5120,2009,"ANTIOQUIA","CACERES",1,1,1,1,1,1,1,NA,NA,NA
"26",5125,2009,"ANTIOQUIA","CAICEDO",0,0,0,0,0,0,0,NA,NA,NA
"27",5129,2009,"ANTIOQUIA","CALDAS",1,1,1,1,1,1,1,NA,NA,NA
"28",5134,2009,"ANTIOQUIA","CAMPAMENTO",1,1,1,1,1,1,1,NA,NA,NA
"29",5138,2009,"ANTIOQUIA","CANASGORDAS",0,0,0,0,0,0,0,NA,NA,NA
"30",5142,2009,"ANTIOQUIA","CARACOLI",1,1,1,1,1,1,1,NA,NA,NA
"31",5145,2009,"ANTIOQUIA","CARAMANTA",0,0,0,0,0,0,0,NA,NA,NA
"32",5147,2009,"ANTIOQUIA","CAREPA",1,1,1,1,1,1,1,NA,NA,NA
"33",5148,2009,"ANTIOQUIA","CARMEN DE VIBORAL",0,0,0,0,0,0,0,NA,NA,NA
"34",5150,2009,"ANTIOQUIA","CAROLINA",0,0,0,0,0,0,0,NA,NA,NA
"35",5154,2009,"ANTIOQUIA","CAUCASIA",1,1,1,1,1,1,1,NA,NA,NA
"36",5172,2009,"ANTIOQUIA","CHIGORODO",1,1,1,1,1,1,1,NA,NA,NA
"37",5190,2009,"ANTIOQUIA","CISNEROS",0,0,0,0,0,0,0,NA,NA,NA
"38",5197,2009,"ANTIOQUIA","COCORNA",0,0,0,0,0,0,0,NA,NA,NA
"39",5206,2009,"ANTIOQUIA","CONCEPCION",0,0,0,0,0,0,0,NA,NA,NA
"40",5209,2009,"ANTIOQUIA","CONCORDIA",0,0,0,0,0,0,0,NA,NA,NA
"41",5212,2009,"ANTIOQUIA","COPACABANA",0,0,0,0,0,0,0,NA,NA,NA
