"","mun","year","AUC","FARC","Paramilitaries","Guerrilla"
"1",5001,1988,NA,1,1,1
"2",5002,1988,NA,0,1,0
"3",5004,1988,NA,0,1,0
"4",5021,1988,NA,0,0,1
"5",5030,1988,NA,0,1,0
"6",5031,1988,NA,0,1,1
"7",5034,1988,NA,0,1,1
"8",5036,1988,NA,0,0,0
"9",5038,1988,NA,0,1,0
"10",5040,1988,NA,0,0,0
"11",5042,1988,NA,1,1,1
"12",5044,1988,NA,1,1,1
"13",5045,1988,NA,1,1,1
"14",5051,1988,NA,0,1,0
"15",5055,1988,NA,0,0,1
"16",5059,1988,NA,0,0,0
"17",5079,1988,NA,0,0,0
"18",5086,1988,NA,0,0,0
"19",5088,1988,NA,0,1,1
"20",5091,1988,NA,0,0,0
"21",5093,1988,NA,0,0,1
"22",5101,1988,NA,0,1,1
"23",5107,1988,NA,0,0,0
"24",5113,1988,NA,0,0,1
"25",5120,1988,NA,1,1,1
"26",5125,1988,NA,0,0,0
"27",5129,1988,NA,0,1,0
"28",5134,1988,NA,1,0,1
"29",5138,1988,NA,0,1,1
"30",5142,1988,NA,0,0,0
"31",5145,1988,NA,0,0,1
"32",5147,1988,NA,0,1,1
"33",5148,1988,NA,0,0,0
"34",5150,1988,NA,0,0,0
"35",5154,1988,NA,1,1,1
"36",5172,1988,NA,1,1,1
"37",5190,1988,NA,0,1,0
"38",5197,1988,NA,1,1,1
"39",5206,1988,NA,0,0,0
"40",5209,1988,NA,0,0,0
"41",5212,1988,NA,0,0,0
"42",5234,1988,NA,0,1,1
"43",5237,1988,NA,0,0,0
"44",5240,1988,NA,0,0,0
"45",5250,1988,NA,1,1,1
"46",5264,1988,NA,0,0,0
"47",5266,1988,NA,0,1,1
"48",5282,1988,NA,0,0,1
"49",5284,1988,NA,1,1,1
"50",5306,1988,NA,0,0,0
"51",5308,1988,NA,0,0,0
"52",5310,1988,NA,1,0,1
"53",5313,1988,NA,0,1,1
"54",5315,1988,NA,0,0,0
"55",5318,1988,NA,0,1,0
"56",5321,1988,NA,0,0,0
"57",5347,1988,NA,0,1,0
"58",5353,1988,NA,0,1,0
"59",5360,1988,NA,0,1,1
"60",5361,1988,NA,0,0,0
"61",5364,1988,NA,0,0,1
"62",5368,1988,NA,0,0,0
"63",5376,1988,NA,0,0,0
"64",5380,1988,NA,0,1,1
"65",5390,1988,NA,0,0,0
"66",5400,1988,NA,0,0,1
"67",5411,1988,NA,0,1,0
"68",5425,1988,NA,0,1,0
"69",5440,1988,NA,1,1,1
"70",5467,1988,NA,0,0,0
"71",5475,1988,NA,0,0,0
"72",5480,1988,NA,0,1,0
"73",5483,1988,NA,0,0,0
"74",5490,1988,NA,0,1,1
"75",5495,1988,NA,1,1,1
"76",5501,1988,NA,0,0,0
"77",5541,1988,NA,0,0,0
"78",5543,1988,NA,0,0,1
"79",5576,1988,NA,0,0,0
"80",5579,1988,NA,1,1,1
"81",5585,1988,NA,0,0,0
"82",5591,1988,NA,0,1,1
"83",5604,1988,NA,1,1,1
"84",5607,1988,NA,0,0,0
"85",5615,1988,NA,0,1,1
"86",5628,1988,NA,0,1,0
"87",5631,1988,NA,0,1,0
"88",5642,1988,NA,0,0,1
"89",5647,1988,NA,0,0,1
"90",5649,1988,NA,1,1,1
"91",5652,1988,NA,0,0,0
"92",5656,1988,NA,0,1,0
"93",5658,1988,NA,1,0,1
"94",5659,1988,NA,0,0,0
"95",5660,1988,NA,0,1,1
"96",5664,1988,NA,0,1,0
"97",5665,1988,NA,0,1,1
"98",5667,1988,NA,1,1,1
"99",5670,1988,NA,1,1,1
"100",5674,1988,NA,0,1,0
"101",5679,1988,NA,0,0,0
"102",5686,1988,NA,0,0,0
"103",5690,1988,NA,0,0,0
"104",5697,1988,NA,0,0,0
"105",5736,1988,NA,0,0,1
"106",5756,1988,NA,0,0,0
"107",5761,1988,NA,0,0,0
"108",5789,1988,NA,0,0,0
"109",5790,1988,NA,0,0,0
"110",5792,1988,NA,0,0,0
"111",5809,1988,NA,0,0,0
"112",5819,1988,NA,0,0,0
"113",5837,1988,NA,0,0,0
"114",5842,1988,NA,0,0,0
"115",5847,1988,NA,0,0,0
"116",5854,1988,NA,0,0,0
"117",5856,1988,NA,0,0,0
"118",5858,1988,NA,0,0,0
"119",5861,1988,NA,0,0,0
"120",5873,1988,NA,0,0,0
"121",5885,1988,NA,0,0,0
"122",5887,1988,NA,0,0,0
