mun,year,FARC,ELN,AUC,Guerrilla,Paramilitaries
5001,1989,0,0,0,0,0
5002,1989,0,0,0,0,0
5004,1989,0,0,0,0,0
5021,1989,0,0,0,0,0
5030,1989,0,0,0,0,0
5031,1989,0,0,0,0,0
5034,1989,0,0,0,0,0
5036,1989,0,0,0,0,0
5038,1989,0,0,0,0,0
5040,1989,0,0,0,0,0
5042,1989,0,0,0,0,0
5044,1989,0,0,0,0,0
5045,1989,0,0,0,0,0
5051,1989,0,0,0,0,0
5055,1989,0,0,0,0,0
5059,1989,0,0,0,0,0
5079,1989,0,0,0,0,0
5086,1989,0,0,0,0,0
5088,1989,0,0,0,0,0
5091,1989,0,0,0,0,0
5093,1989,0,0,0,0,0
5101,1989,0,0,0,0,0
5107,1989,0,0,0,0,0
5113,1989,0,0,0,0,0
5120,1989,0,1,0,1,0
5125,1989,0,0,0,0,0
5129,1989,0,0,0,0,0
5134,1989,0,0,0,0,0
5138,1989,0,0,0,0,0
5142,1989,0,0,0,0,0
5145,1989,0,0,0,0,0
5147,1989,0,0,0,0,0
5148,1989,0,0,0,0,0
5150,1989,0,0,0,0,0
5154,1989,0,0,0,0,0
5172,1989,0,0,0,0,0
5190,1989,0,0,0,0,0
5197,1989,0,0,0,0,0
5206,1989,0,0,0,0,0
5209,1989,0,0,0,0,0
5212,1989,0,0,0,0,0
5234,1989,0,0,0,0,0
5237,1989,0,0,0,0,0
5240,1989,0,0,0,0,0
5250,1989,0,0,0,0,0
5264,1989,0,0,0,0,0
5266,1989,0,0,0,0,0
5282,1989,0,0,0,0,0
5284,1989,0,0,0,0,0
5306,1989,0,0,0,0,0
5308,1989,0,0,0,0,0
5310,1989,0,0,0,0,0
5313,1989,0,0,0,0,0
5315,1989,0,0,0,0,0
5318,1989,0,0,0,0,0
5321,1989,0,0,0,0,0
5347,1989,0,0,0,0,0
5353,1989,0,0,0,0,0
5360,1989,0,0,0,0,0
5361,1989,0,0,0,0,0
5364,1989,0,0,0,0,0
5368,1989,0,0,0,0,0
5376,1989,0,0,0,0,0
5380,1989,0,0,0,0,0
5390,1989,0,0,0,0,0
5400,1989,0,1,0,1,0
5411,1989,0,0,0,0,0
5425,1989,0,0,0,0,0
5440,1989,0,0,0,0,0
5467,1989,0,0,0,0,0
5475,1989,0,0,0,0,0
5480,1989,0,0,0,0,0
5483,1989,0,0,0,0,0
5490,1989,0,0,0,0,0
5495,1989,0,0,0,0,0
5501,1989,0,0,0,0,0
5541,1989,0,0,0,0,0
5543,1989,0,0,0,0,0
5576,1989,0,0,0,0,0
5579,1989,0,0,0,0,0
5585,1989,1,0,0,1,0
5591,1989,0,0,0,0,0
5604,1989,0,0,1,0,1
5607,1989,0,0,0,0,0
5615,1989,0,0,0,0,0
5628,1989,0,0,0,0,0
5631,1989,0,0,0,0,0
5642,1989,0,0,0,0,0
5647,1989,0,0,0,0,0
5649,1989,0,0,0,0,0
5652,1989,0,0,0,0,0
5656,1989,0,0,0,0,0
5658,1989,0,0,0,0,0
5659,1989,0,0,0,0,0
5660,1989,0,0,0,0,0
5664,1989,0,0,0,0,0
5665,1989,0,0,0,0,0
5667,1989,0,0,0,0,0
5670,1989,0,0,1,0,1
5674,1989,0,0,0,0,0
5679,1989,0,0,0,0,0
5686,1989,0,0,0,0,0
5690,1989,0,0,0,0,0
5697,1989,0,0,0,0,0
5736,1989,0,0,0,0,0
5756,1989,0,0,0,0,0
5761,1989,0,0,0,0,0
5789,1989,0,0,0,0,0
5790,1989,0,0,0,0,0
5792,1989,0,0,0,0,0
5809,1989,0,0,0,0,0
5819,1989,0,0,0,0,0
5837,1989,0,0,0,0,0
5842,1989,0,0,0,0,0
5847,1989,0,0,0,0,0
5854,1989,0,0,1,0,1
5856,1989,0,0,0,0,0
5858,1989,0,0,0,0,0
5861,1989,0,0,0,0,0
5873,1989,0,0,0,0,0
5885,1989,0,0,0,0,0
5887,1989,0,0,0,0,0
5890,1989,0,0,0,0,0
5893,1989,0,0,0,0,0
5895,1989,0,0,0,0,0
8001,1989,0,0,0,0,0
8078,1989,0,0,0,0,0
8137,1989,0,0,0,0,0
8141,1989,0,0,0,0,0
8296,1989,0,0,0,0,0
8372,1989,0,0,0,0,0
8421,1989,0,0,0,0,0
8433,1989,0,0,0,0,0
8436,1989,0,0,0,0,0
8520,1989,0,0,0,0,0
8549,1989,0,0,0,0,0
8558,1989,0,0,0,0,0
8560,1989,0,0,0,0,0
8573,1989,0,0,0,0,0
8606,1989,0,0,0,0,0
8634,1989,0,0,0,0,0
8638,1989,0,0,0,0,0
8675,1989,0,0,0,0,0
8685,1989,0,0,0,0,0
8758,1989,0,0,0,0,0
8770,1989,0,0,0,0,0
8832,1989,0,0,0,0,0
8849,1989,0,0,0,0,0
11001,1989,0,0,0,0,0
13001,1989,0,0,0,0,0
13006,1989,0,0,0,0,0
13030,1989,0,0,0,0,0
13042,1989,0,0,0,0,0
13052,1989,0,0,0,0,0
13062,1989,0,0,0,0,0
13074,1989,0,0,0,0,0
13140,1989,0,0,0,0,0
13160,1989,0,0,0,0,0
13188,1989,0,0,0,0,0
13212,1989,0,0,0,0,0
13222,1989,0,0,0,0,0
13244,1989,0,0,0,0,0
13248,1989,0,0,0,0,0
13268,1989,0,0,0,0,0
13300,1989,0,0,0,0,0
13430,1989,0,0,0,0,0
13433,1989,0,0,0,0,0
13440,1989,0,0,0,0,0
13442,1989,0,0,0,0,0
13458,1989,0,0,0,0,0
13468,1989,0,0,0,0,0
13473,1989,0,0,0,0,0
13490,1989,0,0,0,0,0
13549,1989,0,0,0,0,0
13580,1989,0,0,0,0,0
13600,1989,0,0,0,0,0
13620,1989,0,0,0,0,0
13647,1989,0,0,0,0,0
13650,1989,0,0,0,0,0
13654,1989,0,0,0,0,0
13655,1989,0,0,0,0,0
13657,1989,0,0,0,0,0
13667,1989,0,0,0,0,0
13670,1989,0,0,0,0,0
13673,1989,0,0,0,0,0
13683,1989,0,0,0,0,0
13688,1989,0,0,0,0,0
13744,1989,0,0,0,0,0
13760,1989,0,0,0,0,0
13780,1989,0,0,0,0,0
13810,1989,0,0,0,0,0
13836,1989,0,0,0,0,0
13838,1989,0,0,0,0,0
13873,1989,0,0,0,0,0
13894,1989,0,0,0,0,0
15001,1989,0,0,0,0,0
15022,1989,0,0,0,0,0
15047,1989,0,0,0,0,0
15051,1989,0,0,0,0,0
15087,1989,0,0,0,0,0
15090,1989,0,0,0,0,0
15092,1989,0,0,0,0,0
15097,1989,0,0,0,0,0
15104,1989,0,0,0,0,0
15106,1989,0,0,0,0,0
15109,1989,0,0,0,0,0
15114,1989,0,0,0,0,0
15131,1989,0,0,0,0,0
15135,1989,0,0,0,0,0
15162,1989,0,0,0,0,0
15172,1989,0,0,0,0,0
15176,1989,0,0,0,0,0
15180,1989,0,0,0,0,0
15183,1989,0,0,0,0,0
15185,1989,0,0,0,0,0
15187,1989,0,0,0,0,0
15189,1989,0,0,0,0,0
15204,1989,0,0,0,0,0
15212,1989,0,0,0,0,0
15215,1989,0,0,0,0,0
15218,1989,0,0,0,0,0
15223,1989,0,0,0,0,0
15224,1989,0,0,0,0,0
15226,1989,0,0,0,0,0
15232,1989,0,0,0,0,0
15236,1989,0,0,0,0,0
15238,1989,0,0,0,0,0
15244,1989,0,0,0,0,0
15248,1989,0,0,0,0,0
15272,1989,0,0,0,0,0
15276,1989,0,0,0,0,0
15293,1989,0,0,0,0,0
15296,1989,0,0,0,0,0
15299,1989,0,0,0,0,0
15317,1989,0,0,0,0,0
15322,1989,0,0,0,0,0
15325,1989,0,0,0,0,0
15332,1989,0,0,0,0,0
15362,1989,0,0,0,0,0
15367,1989,0,0,0,0,0
15368,1989,0,0,0,0,0
15377,1989,0,0,0,0,0
15380,1989,0,0,0,0,0
15401,1989,0,0,0,0,0
15403,1989,0,0,0,0,0
15407,1989,0,0,0,0,0
15425,1989,0,0,0,0,0
15442,1989,0,0,0,0,0
15455,1989,0,0,0,0,0
15464,1989,0,0,0,0,0
15466,1989,0,0,0,0,0
15469,1989,0,0,0,0,0
15476,1989,0,0,0,0,0
15480,1989,0,0,0,0,0
15491,1989,0,0,0,0,0
15494,1989,0,0,0,0,0
15500,1989,0,0,0,0,0
15507,1989,0,0,0,0,0
15511,1989,0,0,0,0,0
15514,1989,0,0,0,0,0
15516,1989,0,0,0,0,0
15518,1989,0,0,0,0,0
15522,1989,0,0,0,0,0
15531,1989,0,0,0,0,0
15533,1989,0,0,0,0,0
15537,1989,0,0,0,0,0
15542,1989,0,0,0,0,0
15550,1989,0,0,0,0,0
15572,1989,0,0,0,0,0
15580,1989,0,0,0,0,0
15599,1989,0,0,0,0,0
15600,1989,0,0,0,0,0
15621,1989,0,0,0,0,0
15632,1989,0,0,0,0,0
15638,1989,0,0,0,0,0
15646,1989,0,0,0,0,0
15660,1989,0,0,0,0,0
15664,1989,0,0,0,0,0
15667,1989,0,0,0,0,0
15673,1989,0,0,0,0,0
15676,1989,0,0,0,0,0
15681,1989,0,0,0,0,0
15686,1989,0,0,0,0,0
15690,1989,0,0,0,0,0
15693,1989,0,0,0,0,0
15696,1989,0,0,0,0,0
15720,1989,0,0,0,0,0
15723,1989,0,0,0,0,0
15740,1989,0,0,0,0,0
15753,1989,0,0,0,0,0
15755,1989,0,0,0,0,0
15757,1989,0,0,0,0,0
15759,1989,0,0,0,0,0
15761,1989,0,0,0,0,0
15762,1989,0,0,0,0,0
15763,1989,0,0,0,0,0
15764,1989,0,0,0,0,0
15774,1989,0,0,0,0,0
15776,1989,0,0,0,0,0
15778,1989,0,0,0,0,0
15790,1989,0,0,0,0,0
15798,1989,0,0,0,0,0
15804,1989,0,0,0,0,0
15806,1989,0,0,0,0,0
15808,1989,0,0,0,0,0
15810,1989,0,0,0,0,0
15814,1989,0,0,0,0,0
15816,1989,0,0,0,0,0
15820,1989,0,0,0,0,0
15822,1989,0,0,0,0,0
15832,1989,0,0,0,0,0
15835,1989,0,0,0,0,0
15837,1989,0,0,0,0,0
15839,1989,0,0,0,0,0
15842,1989,0,0,0,0,0
15861,1989,0,0,0,0,0
15879,1989,0,0,0,0,0
15897,1989,0,0,0,0,0
17001,1989,0,0,0,0,0
17013,1989,0,0,0,0,0
17042,1989,0,0,0,0,0
17050,1989,0,0,0,0,0
17088,1989,0,0,0,0,0
17174,1989,0,0,0,0,0
17272,1989,0,0,0,0,0
17380,1989,0,0,0,0,0
17388,1989,0,0,0,0,0
17433,1989,0,0,0,0,0
17442,1989,0,0,0,0,0
17444,1989,0,0,0,0,0
17446,1989,0,0,0,0,0
17486,1989,0,0,0,0,0
17495,1989,0,0,0,0,0
17513,1989,0,0,0,0,0
17524,1989,0,0,0,0,0
17541,1989,0,0,0,0,0
17614,1989,0,0,0,0,0
17616,1989,0,0,0,0,0
17653,1989,0,0,0,0,0
17662,1989,0,0,0,0,0
17665,1989,0,0,0,0,0
17777,1989,0,0,0,0,0
17867,1989,0,0,0,0,0
17873,1989,0,0,0,0,0
17877,1989,0,0,0,0,0
18001,1989,0,0,0,0,0
18029,1989,0,0,0,0,0
18094,1989,0,0,0,0,0
18150,1989,0,0,0,0,0
18205,1989,0,0,0,0,0
18247,1989,0,0,0,0,0
18256,1989,0,0,0,0,0
18410,1989,0,0,0,0,0
18460,1989,0,0,0,0,0
18479,1989,0,0,0,0,0
18592,1989,0,0,0,0,0
18610,1989,1,0,0,1,0
18753,1989,0,0,0,0,0
18756,1989,0,0,0,0,0
18785,1989,0,0,0,0,0
18860,1989,0,0,0,0,0
19001,1989,0,0,0,0,0
19022,1989,0,0,0,0,0
19050,1989,0,0,0,0,0
19075,1989,0,0,0,0,0
19100,1989,0,0,0,0,0
19110,1989,0,0,0,0,0
19130,1989,0,0,0,0,0
19137,1989,0,0,0,0,0
19142,1989,0,0,0,0,0
19212,1989,0,0,0,0,0
19256,1989,0,0,0,0,0
19290,1989,0,0,0,0,0
19318,1989,0,0,0,0,0
19355,1989,0,0,0,0,0
19364,1989,0,0,0,0,0
19392,1989,0,0,0,0,0
