"";"mun";"year";"Paramilitaries_VI";"Paramilitaries_CD";"Paramilitaries_CL";"Paramilitaries_IN";"Paramilitaries_RE";"Paramilitaries_UC";"Paramilitaries_All";"Guerrilla_VI";"Guerrilla_CD";"Guerrilla_CL";"Guerrilla_RE";"Guerrilla_UC";"Guerrilla_All";"FARC_VI";"FARC_CD";"FARC_RC";"FARC_RE";"FARC_UC";"FARC_All";"ELN_VI";"ELN_CD";"ELN_RC";"ELN_UC";"ELN_All";"AUC_VI";"AUC_CD";"AUC_RC";"AUC_RE";"AUC_UC";"AUC_All"
"1";5001;1988;1;NA;NA;NA;1;NA;1;1;NA;NA;1;NA;1;0;NA;NA;1;NA;1;1;NA;NA;NA;1;0;NA;NA;NA;NA;0
"2";5001;1989;0;NA;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;0;0;0;0;0;NA;NA;0;0;0;NA;NA;NA;0;0
"3";5001;1990;0;NA;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;0;1;0;1;0;NA;NA;0;0;0;NA;NA;NA;0;0
"4";5001;1991;0;NA;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;0;1;0;1;0;NA;NA;0;0;0;NA;NA;NA;0;0
"5";5001;1992;0;NA;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;NA;1;0;1;0;NA;NA;0;0;0;NA;NA;NA;0;0
"6";5001;1993;0;1;NA;NA;1;0;1;0;1;NA;1;0;1;0;1;NA;1;0;1;0;1;NA;0;1;0;1;NA;NA;0;1
"7";5001;1994;0;1;NA;NA;1;0;1;0;1;NA;1;1;1;0;1;0;1;0;1;0;1;NA;1;1;0;1;0;NA;0;1
"8";5001;1995;0;1;NA;NA;1;0;1;0;1;NA;1;0;1;0;1;0;1;0;1;0;1;NA;0;1;0;1;0;NA;0;1
"9";5001;1996;0;1;NA;NA;1;0;1;0;1;NA;1;1;1;0;1;0;1;1;1;0;1;NA;0;1;0;1;0;NA;0;1
"10";5001;1997;0;1;1;NA;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;NA;1;1;0;1;1;1;0;1
"11";5001;1998;1;1;1;NA;1;0;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;0;0;1;1;1;1;1;0;1
"12";5001;1999;1;1;1;NA;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1
"13";5001;2000;1;1;1;NA;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;NA;0;1;1;1;1;1;0;1
"14";5001;2001;1;1;1;NA;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1
"15";5001;2002;1;1;1;NA;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;NA;1;0;1
"16";5001;2003;0;1;1;NA;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1
"17";5001;2004;1;1;1;NA;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NA;0;1;1;1;1;1;0;1
"18";5001;2005;1;1;1;NA;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;NA;0;1;1;1;1;1;0;1
"19";5001;2006;0;1;NA;NA;0;0;1;1;1;NA;1;1;1;1;1;0;1;0;1;1;1;NA;1;1;1;1;0;0;0;1
"20";5001;2007;1;1;NA;NA;1;0;1;1;1;NA;1;0;1;1;1;0;1;0;1;1;1;NA;0;1;1;1;NA;0;0;1
"21";5001;2008;1;1;NA;1;1;0;1;1;1;NA;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;NA;0;0;1
"22";5001;2009;1;0;NA;1;1;0;1;1;1;NA;1;0;1;1;1;0;1;0;1;1;1;NA;0;1;1;0;NA;0;0;1
"23";5001;2010;1;1;NA;1;1;0;1;1;1;NA;1;0;1;1;1;NA;1;0;1;1;1;0;0;1;1;1;NA;0;0;1
"24";5001;2011;1;1;NA;1;NA;0;1;1;1;NA;NA;0;1;1;1;0;NA;0;1;0;1;NA;0;1;1;1;NA;NA;0;1
"25";5001;2012;1;1;NA;1;NA;0;1;1;1;NA;NA;0;1;1;1;0;NA;0;1;0;1;NA;0;1;1;1;NA;NA;0;1
"26";5001;2013;1;1;NA;NA;NA;0;1;1;1;NA;NA;0;1;1;1;NA;NA;0;1;0;1;NA;0;1;0;1;NA;NA;0;1
"27";5001;2014;0;1;NA;1;NA;0;1;0;1;NA;NA;0;1;0;1;NA;NA;0;1;0;1;NA;0;1;0;1;NA;NA;0;1
"28";5001;2015;1;1;NA;1;NA;0;1;1;1;NA;NA;0;1;0;1;NA;NA;0;1;0;1;NA;0;1;1;1;NA;NA;0;1
"29";5001;2016;1;1;NA;NA;NA;0;1;1;1;NA;NA;0;1;1;1;NA;NA;0;1;1;1;NA;0;1;1;1;NA;NA;0;1
"30";5001;2017;1;1;NA;1;NA;0;1;0;1;NA;NA;0;1;0;1;NA;NA;0;1;0;1;NA;0;1;0;1;NA;NA;0;1
"31";5001;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
